# input=35
# domains=4
# cutoff, sequential, parabs, domainslib, moonpool-fifo, moonpool-ws
5 0.125026 0.254153 0.362195 16.8152 16.43 
7 0.0932869 0.112665 0.157411 6.41021 6.65088 
10 0.0818073 0.0464078 0.0646852 1.61526 1.63308 
12 0.0795457 0.0371955 0.0432534 0.568764 0.567004 
15 0.0773665 0.028716 0.0318597 0.134779 0.138399 
17 0.0751032 0.0293463 0.0295561 0.0727783 0.0686696 
20 0.0750501 0.0232638 0.0289915 0.035453 0.03486 
22 0.0751306 0.0237172 0.0265392 0.0328762 0.0328536 
25 0.0744975 0.0233623 0.0269071 0.031583 0.0314296 
27 0.0769599 0.0245901 0.0284703 0.0337781 0.0333812 
30 0.0759121 0.0280597 0.0295322 0.0335759 0.0354911 
32 0.0784866 0.0405766 0.0356848 0.035043 0.0365059 
35 0.0767655 0.0778764 0.0788485 0.0802662 0.0769409 
