# iota, with varying domains
# prog: EXTRA_DOMAINS={doms} CUTOFF=10_000 ./_build/default/bench/iota/run.exe {impl} 1_000_000
# columns: domains, sequential, parabs, domainslib, moonpool-fifo, moonpool-ws
1 0.404189 0.440575 0.489794 0.443078 0.437516 
2 0.406936 0.230439 0.261597 0.465798 0.480376 
3 0.406252 0.169137 0.179395 0.257058 0.242218 
4 0.412012 0.136376 0.141718 0.178051 0.177944 
5 0.404293 0.114933 0.121228 0.139271 0.136168 
6 0.402999 0.0989843 0.10778 0.120149 0.112255 
7 0.409799 0.097923 0.0994976 0.106193 0.10291 
8 0.412699 0.0931272 0.0931664 0.0985226 0.097231 
9 0.410942 0.0887749 0.0899125 0.0931978 0.095459 
10 0.410793 0.0872036 0.0874502 0.0902159 0.0911472 
11 0.399674 0.0854056 0.0857936 0.0882303 0.0896184 
12 0.4044 0.101858 0.0992088 0.0866018 0.0876546 
13 0.402162 0.125129 0.119105 0.100363 0.0977944 
14 0.414661 0.145216 0.132993 0.110381 0.109846 
15 0.403217 0.159168 0.144556 0.129267 0.130688 
